Банк (официальное название);БИН;Сайт;Телефон;Email;Адрес головного офиса;Председатель Правления (ФИО);Примечание
АО "Народный Банк Казахстана" (Halyk Bank);940140000385;halykbank.kz;7111 (физ.), 9595 (юр.), +7 727 259-07-77;info@halykbank.kz;г. Алматы, пр. Аль-Фараби, 40;Шаяхметова Умут Болатовна;в должности с января 2009 г.
АО "Kaspi Bank";971240001315;kaspibank.kz;9999 (моб.), 8-800-080-18-00, +7 727 258-59-55;office@kaspi.kz;г. Алматы, ул. Наурызбай батыра, 154А;Миронов Павел Владимирович;с 2020 г.; не путать с холдингом Kaspi.kz (пред. правления Ломтадзе М.)
АО "Банк ЦентрКредит" (Bank CenterCredit);980640000093;bcc.kz;505 физ. (24/7), 605 бизнес;info@bcc.kz; Pr@bcc.kz (пресс-служба);г. Алматы, пр. Аль-Фараби, 38;Владимиров Руслан Владимирович;назначен 26.10.2022
АО "Отбасы банк" (Otbasy Bank);030740001404;hcsbk.kz;+7 727 330-93-00; 300 (моб.); 8 8000 801 880;mail@hcsbk.kz;г. Астана, пр. Мәңгілік Ел, 55А;Ибрагимова Ляззат Еркеновна;с 23.01.2017
АО "ForteBank";990740000683;forte.kz;7575 физ., 55575 бизнес, +7 727 258-40-40;info@fortebank.com;г. Астана, ул. Достык, 8/1;Куанышев Талгат Жуманович;утверждён АРРФР 06.12.2024
АО "Банк Развития Казахстана" (гос. банк развития, не БВУ);010540001007;kdb.kz;1408; +7 7172 79-26-00;info@kdb.kz;г. Астана, пр. Мәңгілік Ел, 55А;Елибаев Марат Талгатович;назначен 04.12.2023
АО "Евразийский Банк" (Eurasian Bank);950240000112;eubank.kz;+7 727 332-77-22; +7 771 000-77-22;info@eubank.kz; contactcenter@eubank.kz;г. Алматы, ул. Кунаева, 56;Сатиева Ляззат Адыловна;
АО "Alatau City Bank" (бывш. Jusan Bank);920140000084;alataucitybank.kz;+7 727 258-77-11 (7711);info@alataucitybank.kz;г. Алматы, пр. Нурсултан Назарбаев, 242;Куандыков Ануар;с 01.07.2026, сменил Джумадиллаеву Г.; переименован из Jusan Bank 16.06.2025
АО "Bank RBK";920440001102;bankrbk.kz;+7 727 330-90-30; 7888 физ.; 7222 юр.; 8 800 080 18 88;info@bankrbk.kz;г. Алматы, пл. Республики, 15;Акентьева Наталья Евгеньевна;
АО "Bereke Bank" (бывш. Sberbank Kazakhstan);930740000137;berekebank.kz;5030 физ.; 7744 бизнес; 8 8000 80 60 60;post@berekebank.kz;г. Алматы, пр. Аль-Фараби, 13/1;Тимченко Андрей Игоревич;
АО "Freedom Bank Kazakhstan" (бывш. Банк Фридом Финанс / Bank Kassa Nova);090740019001;bankffin.kz / freedombank.kz;595 (короткий); WhatsApp +7 776 159-55-95;не найдено (только функциональные адреса на сайте);г. Алматы, ул. Курмангазы, 61А;Ахметова Гульфайруз;переименован 20.05.2024
АО "Altyn Bank" (ДБ China Citic Bank);980740000057;altynbank.kz;+7 727 356-57-77 физ.; +7 727 259-69-22 юр.;info@altynbank.kz;г. Алматы, пр. Абая, 109В;Байсынов Мурат;с июня 2025 г., сменил Альменова М.
АО "Home Credit Bank" (ДБ ForteBank);930540000147;home.kz;7979; +7 727 244-54-84;info@homecredit.kz;г. Алматы, ул. Зеина Шашкина, 1/1;Нурумбет Шолпан;назначена 11.12.2025 (сменила Бачварова К.)
АО "Нурбанк" (Nurbank);930940000164;nurbank.kz;+7 727 244-44-44; 2552 (короткий);info_nur@nurbank.kz; media@nurbank.kz (пресс-служба);г. Алматы, пр. Абая, 10В;Мажуга Алексей Николаевич;и.о. Председателя Правления с 01.06.2026 (после ухода Мусатаевой Г.)
ДБ АО "Шинхан Банк Казахстан" (Shinhan Bank);080240019735;shinhan.kz;+7 727 356-96-00;infokz@shinhan.com;г. Алматы, пр. Достык, 38;Чжо Ёнг Ын (Cho Yong Eun);
АО ДБ "Банк Китая в Казахстане" (Bank of China);930440000156;boc.kz;+7 727 258-55-10;не подтверждён напрямую (по агрегаторам: boc@bankofchina.kz);г. Алматы, мкр-н Жетысу-2, 71Б;Хоу Юаньмин (Hou Yuanming);
АО "Торгово-промышленный Банк Китая в г. Алматы" (ICBC);930340001235;kz.icbc.com.cn;+7 727 237-70-72 физ.; +7 727 237-70-83 юр.;office@kz.icbc.com.cn;г. Алматы, пр. Абая, 150/230;Люй Хунхай (Lyu Honghai);с 04.07.2024
ДО АО "Банк ВТБ (Казахстан)" (VTB Bank);080940010300;vtb-bank.kz;+7 727 330-50-50 (5050);info@vtb-bank.kz;г. Алматы, ул. Тимирязева, 26/29;Забелло Дмитрий Александрович;с 2015 г.
АО "Исламский Банк ADCB" (бывш. Al Hilal Bank);100140011772;adcb.com/kazakhstan;+7 727 233-00-00;adcbk.reception@adcb.com;г. Алматы, пр. Аль-Фараби, 77/7, БЦ Esentai Tower;Гордон Джеймс Хаскинс (Gordon James Haskins);переименован из Al Hilal 21.10.2024
АО "Исламский банк "Заман-Банк"" (Zaman Bank);910640000060;zamanbank.kz;+7 7172 26-20-26 (Астана); +7 727 355-65-75 (Алматы); 4077;info@zamanbank.kz;г. Астана, пр. Рақымжан Қошқарбаев, 1а;Асаева Гульфайруз Ерлановна;с марта 2018 г.
АО "KMF Банк" (бывш. МФО KMF);061240001583;kmf.kz;+7 727 331-74-74;info@kmf.kz;г. Алматы, пр. Нұрсұлтан Назарбаев, 50;Жусупов Шалкар Амангосович;конвертирован из МФО в банк 12.08.2025
АО "Ситибанк Казахстан" (Citibank Kazakhstan);980540003232;citibank.com/kazakhstan;+7 727 332-14-00 (Алматы); +7 717 255-76-00 (Астана);citibank.kazakhstan@citi.com;г. Алматы, ул. Зенкова, 26/41;Жакаева Сауле;с 2021 г.; банк действующий, статус подтверждён на 02.2026
