Регион;Название департамента;Адрес;Телефон;Email;Руководитель;Примечание
Акмолинская область;РГУ "Департамент юстиции Акмолинской области Министерства юстиции РК";"г. Кокшетау, просп. Н. Назарбаева (ул. М. Горького), 37";"+7 (7162) 25-30-87, 40-22-50, 25-62-48";не найдено;не найдено;"А. Баукен возглавлял до 26.03.2026, переведён в Кызылординскую обл., преемник не установлен"
Актюбинская область;РГУ "Департамент юстиции Актюбинской области Министерства юстиции РК";"г. Актобе, просп. Абая, 17";"+7 (7132) 54-42-46, 56-30-80";не найдено;Сагимбаева Гульжан Алтаевна;
г. Алматы;РГУ "Департамент юстиции города Алматы Министерства юстиции РК";"г. Алматы, ул. Зенкова, 47";"+7 (727) 330-80-11, 291-83-57, 291-88-16";не найдено;Сейдімбек Ернар Акселеуұлы;с 02.03.2026
Алматинская область;РГУ "Департамент юстиции Алматинской области Министерства юстиции РК";"г. Конаев, 3-й мкр-н, 15";+7 (72772) 2-24-90;не найдено;Самашев Жанболат Каиролаевич;назначен апрель-июнь 2026
г. Астана;РГУ "Департамент юстиции города Астаны Министерства юстиции РК";"г. Астана, просп. Жеңіс, 15";"+7 (7172) 39-12-13, 32-55-18, 32-53-16";не найдено;Абубакир Талгат;с 23.07.2025
Атырауская область;РГУ "Департамент юстиции Атырауской области Министерства юстиции РК";"г. Атырау, ул. Баймуханова, 16а";"+7 (7122) 35-75-44, 35-75-38";не найдено;Кыстаубаева Гуланда Урынбасаровна;с 11.11.2025
Область Абай;РГУ "Департамент юстиции по области Абай Министерства юстиции РК";"г. Семей, ул. Мәңгілік Ел, 4";+7 (7222) 36-05-34;не найдено;Едрисов Медет;назначен март 2026
Восточно-Казахстанская область;РГУ "Департамент юстиции Восточно-Казахстанской области Министерства юстиции РК";"г. Усть-Каменогорск, просп. Шакарима, 6";"+7 (7232) 70-41-59, 56-98-13";не найдено;Туктыбаева Айгуль Кумаровна;с 2022, не подтверждено на 2026
Жамбылская область;РГУ "Департамент юстиции Жамбылской области Министерства юстиции РК";"г. Тараз, ул. Толе би, 55";"+7 (7262) 43-64-26, 43-05-03, 43-69-39";не найдено;Адасов Нургали Есіркепович;с 2021, не подтверждено на 2026
Западно-Казахстанская область;РГУ "Департамент юстиции Западно-Казахстанской области Министерства юстиции РК";"г. Уральск, просп. Н. Назарбаева, 208";"+7 (7112) 51-50-77, 51-35-45";не найдено;Тасыбаева Алия Анесовна;"с 2021, не подтверждено на 2026; отдельно отдел регулирования и контроля за деятельностью судебных исполнителей на этом же адресе"
Карагандинская область;РГУ "Департамент юстиции Карагандинской области Министерства юстиции РК";"г. Караганда, ул. Жамбыла, 11";"+7 (7212) 42-04-28, 42-08-80, 42-02-23";не найдено;Тезекбаев Арсен Буранбаевич;с ноября 2023
Костанайская область;РГУ "Департамент юстиции Костанайской области Министерства юстиции РК";"г. Костанай, ул. Тәуелсіздік, 38";"+7 (7142) 54-78-03, 54-82-15, 54-62-61";не найдено;Аманжулова Алия Алатаевна;с апреля 2023
Кызылординская область;РГУ "Департамент юстиции Кызылординской области Министерства юстиции РК";"г. Кызылорда, просп. Абая, 52";"+7 (7242) 23-10-09, 23-10-35";не найдено;Алмеш Баукен Серікұлы;с 26.03.2026
Мангистауская область;РГУ "Департамент юстиции Мангистауской области Министерства юстиции РК";"г. Актау, 3-й мкр-н, 16";"+7 (7292) 30-20-06, 30-20-09, 30-20-10";не найдено;Каримов Асулан Нурланулы;с 20.10.2025
Павлодарская область;РГУ "Департамент юстиции Павлодарской области Министерства юстиции РК";"г. Павлодар, ул. Астана, 18";"+7 (7182) 32-67-04, 32-81-67, 32-32-58";не найдено;Имятова Маржан Имятовна;с 2020, возможна смена в 2022
Северо-Казахстанская область;РГУ "Департамент юстиции Северо-Казахстанской области Министерства юстиции РК";"г. Петропавловск, ул. Конституции Казахстана, 72";"+7 (7152) 46-36-96, 33-23-80, 33-26-35";не найдено;Рашкалиев Естай Елтаевич;с 11.03.2025
Туркестанская область;РГУ "Департамент юстиции Туркестанской области Министерства юстиции РК";"г. Туркестан, 160-й квартал, 254/1";"+7 (72533) 5-84-09, 5-84-10";не найдено;Тургараев Мухит Бекетович;"с окт. 2018, подтверждено 31.05.2025"
Область Ұлытау;РГУ "Департамент юстиции области Ұлытау Министерства юстиции РК";"г. Жезказган, ул. Бауыржана Момышулы, 9";не найдено;не найдено;Айнабеков Азамат;с августа 2025
г. Шымкент;РГУ "Департамент юстиции города Шымкент Министерства юстиции РК";"г. Шымкент, ул. Желтоқсан, 16";"+7 (7252) 33-79-29, 35-44-86, 35-43-76";не найдено;Исабекова Айнур Ақжігітқызы;с ноября 2024
Область Жетісу;РГУ "Департамент юстиции области Жетісу Министерства юстиции РК";"г. Талдыкорган, ул. Кабанбай батыра, 38";"+7 (7282) 24-52-90, 24-51-44";не найдено;Еркенов Ержан Еркенович;с июля 2023, не подтверждено на 2026
