БИН;Название;Рег. номер (лицензия);Руководитель (ФИО);Адрес;Контакты (тел./email/сайт);Дата включения в реестр;Дата исключения;Основание исключения;Статус
180340006014;"ТОО ""Досудебное коллекторское агентство""";53.К.18.002;Есполов Тимур Абильдаевич;050000, г.Алматы, Жетысуский район, ул.Серикова, д.6;8 (701) 980-36-13, info@rvka.kz, www.rvka.kz;18.04.2018;;;Действующее
080840007901;"ТОО ""Евразийское коллекторское агентство""";05.К.17.019;Ермухаметов Рахим Мекенович;050044, г.Алматы, Медеуский район, ул. Жибек жолы, дом 50, офис 806;356-07-33, 356-07-36 info@eka.kz www.eka.kz;20.11.2017;;;Действующее
231040035636;"ТОО ""КА ""Silver Collection""";13.K.24.001;Мубарак Дидар;город Алматы, Бостандыкский район, улица Джандарбекова, дом 238/91, 205/1 кабинет, почтовый индекс 050057;"8-777-322-2220; Silvercollection@mail.ru";18.04.2024;;;Действующее
190740011295;"ТОО ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ""Sirius Agency""";53.К.19.006;Рахметова Айгерим Биржановна;г. Астана, район Алматы, улица Ж.Жирентаева, д.4, кв.37 и фактический адрес: г. Астана, район Алматы, проспект Тауелсиздик, дом 24, офис ВП 3;87018482737, sirius.rakh@gmail.com;27.08.2019;;;Действующее
201040010010;"ТОО ""Коллекторское Агентство ""AGRO GROUP COLLECTION""";01.К.20.005;Ажикенова Гульжан Сериковна;г. Астана, район Байконур, улица Малика Габдуллина, 19/1, н.п. 1;email: ag-collection@mail.ru, ka-agc.kz;20.11.2020;;;Действующее
151140004682;"ТОО ""Коллекторское Агентство ""Debt Solution""";05.К.18.011;Байдагулов Руслан Аскарович;"юридический адрес: 050046, г.Алматы, Бостандыкский район, ул. Мынбаева, дом 151. Фактический адрес: 050000, г. Алматы, Алмалинский район, пр. Райымбека, д. 160 ""Б"", оф. 12";8 (727) 346 89 11, 87713951115, info@debtsolution.kz, www.debtsolution.kz;28.03.2018;;;Действующее
201140015461;"ТОО ""Коллекторское Агентство ""ELITE KZ""";01.К.20.006;Суинов Ерлан Арнашевич;Юридический адрес: г. Алматы, ул. Кожамкулова, д.273, н.п. 123 Фактический адрес: г. Алматы, ул. Кожамкулова, д.273, н.п. 123;8 700 724 81 31, 8 708 825 38 14, 8 708 825 38 15, 8 700 075 40 40, электронная почта: info@elite-01.kz, https://elite-01.kz/;11.03.2021;;;Действующее
180340003783;"ТОО ""Коллекторское Агентство ""KZ Finance""";05.К.18.015;Тохтямов Кадирдин Садирдинович;050026, г.Алматы, Алмалинский район, улица Карасай батыра, здание 152/1, офис 814;"8 (727) 317-99-31, 8(707) 577-07-81 info@kzfinance.kz; www.kzfinance.kz;";31.05.2018;;;Действующее
200540014198;"ТОО ""Коллекторское Агентство ""Qarjy Qyzmet""";01.К.20.003;Байбаракова Айдана Әбдібекқызы;г.Астана, район Сарыарка, проспект Жеңіс, здание 79, оф. 320;8 702 699 59 51, электронная почта: Qarjy_qyzmet@mail.ru;16.07.2020;;;Действующее
230940000188;"ТОО ""Коллекторское Агентство ""Капитал Инвест""";02.K.23.013;Ғаппар Жансая Қанатқызы;г. Шымкент, Каратауский р-он, мкр. Мирас, ул. Жанажол, д.39 почтовый индекс 160024;8-775-430-77-77, kapital.invest.87@mail.ru;06.10.2023;;;Действующее
171040035573;"ТОО ""Коллекторское Агентство ""Парыз""";53.К.18.001;Хасенов Серик Тукенович;г. Астана, район Алматы, ЖМ «Ак-булак-2», переулок Талды, д. 2, ВП-1;8(7172)28-71-59, 87470943049, tooparyz@gmail.com;12.01.2018;;;Действующее
210440003795;"ТОО ""Коллекторское Агентство ""Престиж""";02.К.21.015;Мамбетов Ануар Амантаевич;050010, г. Алматы, Медеуский район, ул. Казыбек би д. 22;8-777-626-5151 prestigekzka@mail.ru, Prestigeka.wixsite.com/about;16.07.2021;;;Действующее
180140040205;"ТОО ""Коллекторское Агентство ""Прогресс""";05.К.18.017;Латыпаева Мубяряк Кенжеевна;190000, область Жетісу, город Талдыкорган, Микрорайон Гарышкер, строение 1Г;"8 (747) 559-91-89 kaprogress.kz@mail.ru; www.Kaprogress.kz;";19.06.2018;;;Действующее
180140032402;"ТОО ""Коллекторское Агентство Финанс контроль""";05.К.18.014;Ходжамкулова Диана Фархадовна;050057, г. Алматы, Бостандыкский район, ул.Тимирязева, дом 42, офис 301;8 (727) 712-90-42, 8(700) 470-04-41 8-775-185-30-86 finans_kontrol@inbox.ru https://finance-control-di.kz/;20.04.2018;;;Действующее
131240004721;"ТОО ""Коллекторское агенство ""Агенство по работе с дебиторами""";05.К.17.030;Айжариков Ернар Ельбрусович;050000, г. Алматы, Алмалинский район, пр. Райымбека, дом 160Б, офис 22;8(727) 339-96-66, info@1ard.kz, E.Aizharikov@1ard.kz, http://1ard.kz/;06.12.2017;;;Действующее
190740030618;"ТОО ""Коллекторское агенство ""Аспект Финанс""";02.K.23.010;Зюзюлькина Наталья Витальевна;050000, Алматы қаласы, Алмалы ауданы, Байтұрсынұлы көшесі, 1А-үй, 4-тұрғын емес үй жай, 4-қабат, 3-кеңсе;8 727 355 00 17, in@aspf.kz, www.aspf.kz;10.07.2023;;;Действующее
210440037244;"ТОО ""Коллекторское агенство ""ТОП-КОЛЛЕКТОР""";02.К.21.023;Утаргалиев Руслан Абатович;Астана қаласы, Байқоңыр ауданы, Бөгенбай батыр даңғылы, үй, пәтер. 56А, 53 кабинет.;8 775 928 83 38 электрондық пошта: topkollektor@gmail.com;08.12.2021;;;Действующее
220440029562;"ТОО ""Коллекторское агентство ""Aikus Kazakhstan"" (Aикус Казахстан)";02.K.22.009;Тохтарбаев Тимур Ерсаинович;050000, г. Алматы, Алмалинский район, ул. Гоголя, дом 86, Бизнес-Центр «Казжол», офис №616;+7 705 725 94 12, http//aikus.kz, info@aikus.kz;15.06.2022;;;Действующее
210140001738;"ТОО ""Коллекторское агентство ""Alfa Collection Group""";02.К.21.003;Оленбаева Маржан Бердгожаевна;050006, г. Алматы, Медеуский район, улица Жибек жолы, 76;8-771-704-0193, info@acg1.kz, acg1.kz;10.02.2021;;;Действующее
170540005903;"ТОО ""Коллекторское агентство ""Arbitrade""";58.К.18.005;Сматбекұлы Ақжол;г.Шымкент, район Каратау, мкр.Нуртас, улица Жас талап, дом 164;тел. +7 700 470 04 41, Arbitrade@bk.ru;02.04.2018;;;Действующее
180440003053;"ТОО ""Коллекторское агентство ""Asyl Group""";58.К.18.014;Шапаволов Владимир Владимирович;050000, г. Алматы, Турксибский район, мкр. Кайрат, д.282;"+7 707 669 7964, info@asylgroup.kz; https://www.asylgroup.kz/";04.07.2018;;;Действующее
230740021133;"ТОО ""Коллекторское агентство ""Atasen Group""";02.K.23.011;Абитаева Аида Николаевна;050000, город Алматы, Бостандыкский район, ул. Егизбаева 7/9, кв., 97;8 707 528 93 55, atasengroup@inbox.ru, www.atasen-group.kz;24.08.2023;;;Действующее
160240007233;"ТОО ""Коллекторское агентство ""BVK-Group Company""";05.К.17.027;Беляева Яна Маликовна;050016, г. Алматы, Жетысуский район, пр. Суюнбая, д. 89;"8 (727) 250 46 77, bvk_group@mail.ru; www.bvkgroup.kz";29.11.2017;;;Действующее
190140031842;"ТОО ""Коллекторское агентство ""Benestar """;58.К.19.002;Оразбаев Алимжан Гайфурович;город Шымкент, Енбекшинский район, мкр. Улагат, улица Кызылшокы, дом 25, почтовый индекс 160000;тел: +7 701 666 21 66 benestar2019@mail.ru;13.03.2019;;;Действующее
