Название (реестр АРРФР);БИН;Категория;Полное название (гос. регистр);Юридический адрес;Руководитель;Примечание
ТОО «Микрофинансовая организация «Nomad Finance Solutions»;260440014195;МФО;ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ «NOMAD FINANCE SOLUTIONS»;Г.АСТАНА, РАЙОН ЕСИЛЬ, Проспект Улы Дала, дом 41/3, н.п. 12;ФИЛЯЕВА МАРИНА ВЛАДИМИРОВНА;
"ТОО ""Ломбард Gold Prime""";251140016588;Ломбард;"ТОО ""ЛОМБАРД GOLD PRIME""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, Проспект Райымбека, дом 212В;ЖАРЫЛГАПОВ ЖАЙНАТ АЙБАТУЛЛАЕВИЧ;
ТОО «Алем KZ ЛОМБАРД»;260340004273;МФО;"ТОО ""АЛЕМ KZ ЛОМБАРД""";ТУРКЕСТАНСКАЯ ОБЛАСТЬ, САРЫАГАШСКИЙ РАЙОН, КУРКЕЛЕССКИЙ С.О., С.АКНИЕТ, улица Абай, строение 33/1;АРИФХОДЖАЕВА РАНО АБДУКАДЫРҚЫЗЫ;
ТОО «Микрофинансовая организация «Sensata Finance»;260440004900;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""SENSATA FINANCE""";Г.АСТАНА, РАЙОН ЕСИЛЬ, улица Сарайшық, здание 34А;МЫРЗАХМЕТҚЫЗЫ АЙГЕРІМ;
ТОО «Микрофинансовая организация Regent Capital»;260340029615;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ REGENT CAPITAL""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, Проспект Аль-Фараби, дом 17, н.п. 6в;КЕҢЕСОВА ҒАЗИЗА ҚАНАТҚЫЗЫ;
ТОО «Ломбард Актау Тұлпар»;260240001364;Ломбард;"ТОО ""ЛОМБАРД АҚТАУ ТҰЛПАР""";МАНГИСТАУСКАЯ ОБЛАСТЬ, АКТАУ Г.А., Г.АКТАУ, Микрорайон 30, здание 170;АДАЙҚЫЗЫ ЖАННА;
"ТОО «Grigoryev&nbsp;Lombard»";160140019362;МФО;"ТОО ""GRIGORYEV LOMBARD""";АКМОЛИНСКАЯ ОБЛАСТЬ, ШОРТАНДИНСКИЙ РАЙОН, ШОРТАНДИНСКАЯ П.А., П.ШОРТАНДЫ, улица 30 лет Победы, дом 44;ГРИГОРЬЕВ АЛЕКСЕЙ АЛЕКСЕЕВИЧ;
"ТОО ""МФО Alatau Finance""";260340003146;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""ALATAU FINANCE""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, улица Тимирязева, дом 28В;ОКИМБАЕВ НУРЖАН ЕРКЕНОВИЧ;
"ТОО ""Микрофинансовая организация BASTAU Leasing""";191140024337;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ BASTAU LEASING""";Г.ШЫМКЕНТ, РАЙОН ТУРАН, Проспект Б.Момышулы, здание 23/1;ӘДЕПХАН АБЫЛАЙ ҚАҢЛЫБАЙҰЛЫ;
ТОО «Кредитное товарищество «RIKI»;250840026260;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""RIKI""";Г.АСТАНА, РАЙОН БАЙҚОҢЫР, Шоссе Алаш, здание 20А;РАХМЕТОВ РУСТАМ БАГЛАНОВИЧ;
«ТОО Ломбард «Кредит маркет»;260240009736;Ломбард;"ТОО ""ЛОМБАРД ""КРЕДИТ МАРКЕТ""";МАНГИСТАУСКАЯ ОБЛАСТЬ, АКТАУ Г.А., Г.АКТАУ, Промышленная зона 3, здание 26;БАТАЛОВ МИХАИЛ ЕВГЕНЬЕВИЧ;
ТОО «Ломбард Пана»;251240022437;Ломбард;"ТОО ""ЛОМБАРД ПАНА""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, КАРАГАНДА Г.А., Г.КАРАГАНДА, Р.А. ИМ. КАЗЫБЕК БИ, РАЙОН ИМ.КАЗЫБЕК БИ, Микрорайон Кунгей, улица Жакана Смакова, дом 21;АРКЕНОВ ДАУРЕН КУАНЫШОВИЧ;
ТОО «Микрофинансовая организация Alliance Finance»;251240006742;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ALLIANCE FINANCE""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, улица Розыбакиева, дом 279, кв. 80;МЫРЗАЛИНОВ БАУЫРЖАН КАЙРУЛЛАУЛЫ;
ТОО «Микрофинансовая организация MEGA»;260240010650;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ MEGA""";Г.АЛМАТЫ, НАУРЫЗБАЙСКИЙ РАЙОН, Потребительский кооператив Садоводческое товарищество Сельхозработник V, дом 2;ЗЕЙНОЛЛА ЖАНАТ;
ТОО «LEO ЛОМБАРД KZ»;251140011468;МФО;"ТОО ""LEO ЛОМБАРД KZ""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ПАВЛОДАР Г.А., Г.ПАВЛОДАР, улица Қабдеш Нұркин, дом 46/1, кв. 55;АЛИЕВ КАМРАН ЭЛЬДАНИЗ ОГЛУ;
ТОО «TEZ-Ломбард»;251140006154;Ломбард;"ТОО ""TEZ-ЛОМБАРД""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, Проспект Жибек жолы, дом 135, н.п. 5р;ТАСТАНБЕКОВ ТОЛЕГЕН ТОРЕБЕКОВИЧ;
ТОО «Керемет Ломбард»;251140011854;Ломбард;"ТОО ""КЕРЕМЕТ ЛОМБАРД""";КОСТАНАЙСКАЯ ОБЛАСТЬ, АУЛИЕКОЛЬСКИЙ РАЙОН, АУЛИЕКОЛЬСКИЙ С.О., С.АУЛИЕКОЛЬ, улица имени Саржетім Қарабалуан батыра, дом 24, кв. 7;КОВАЛЕНКО ТАТЬЯНА ВИКТОРОВНА;
ТОО «iKomek Ломбард»;250740027057;Ломбард;"ТОО ""IKOMEK ЛОМБАРД""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, Проспект Абая, дом 44А;АИМБЕТОВ НУРЖАН ДУСЕНОВИЧ;
ТОО «Кредитное товарищество «Jaiyq Agro Invest»;240940029118;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""JAIYQ AGRO INVEST""";ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, УРАЛЬСК Г.А., Г.УРАЛЬСК, улица Сарайшык, дом 79/1, н.п. 1;ХАМЗИН НУРЛЫБЕК ДЖУСУПОВИЧ;
ТОО «КАА-Ломбард»;250840027556;Ломбард;"ТОО ""КАА-ЛОМБАРД""";Г.АСТАНА, РАЙОН НҰРА, улица Е 900, дом 4, кв. 69;ТУРГЫНБЕКОВ МУХТАР АМАНБЕКУЛЫ;
"ТОО ""Микрофинансовая организация ""EasyCar""";180840024070;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""EASYCAR""";АЛМАТИНСКАЯ ОБЛАСТЬ, ТАЛГАРСКИЙ РАЙОН, БЕСАГАШСКИЙ С.О., С.БЕСАГАШ, улица Райымбек Батыр, здание 165;АЛИМБАЕВ БАКЫТЖАН АИЕНБЕКОВИЧ;
"ТОО ""МФО Бихайв Финанс""";250940000469;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ БИХАЙВ ФИНАНС""";Г.АЛМАТЫ, НАУРЫЗБАЙСКИЙ РАЙОН, Потребительский кооператив Садоводческое товарищество Сельхозработник V, дом 2;ДЖОЛТАЕВ БЕРДИЯР ТАЛГАТОВИЧ;
ТОО «Ломбард ЖАЙЫҚ»;250240024222;Ломбард;"ТОО ""ЛОМБАРД ЖАЙЫҚ""";АТЫРАУСКАЯ ОБЛАСТЬ, АТЫРАУ Г.А., Г.АТЫРАУ, Микрорайон Лесхоз, дом 10, кв. 17;СУЛТАНОВ САМАТ МАКСУТОВИЧ;
"ТОО ""МФО CapitalCredit""";250540004249;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ CAPITALCREDIT""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Байзакова, здание 125, н.п. 2;МАШАНЛО СЕРГЕЙ ГЕННАДЬЕВИЧ;
ТОО «Микрофинансовая организация «SurfKaz Finance»;250340025650;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""SURFKAZ FINANCE""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Шевченко, дом 90, н.п. 94;У ЯНЬАНЬ;
ТОО «Микрофинансовая организация «КредитФлоу»;241240018040;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""КРЕДИТФЛОУ""";Г.АЛМАТЫ, МЕДЕУСКИЙ РАЙОН, Проспект Нұрсұлтан Назарбаев, дом 248, н.п. 326;КОНДРАТЬЕВ КИРИЛЛ РОМАНОВИЧ;
"ТОО ""LC LOMBARD"" (ЭлСи ЛОМБАРД)";250140019522;МФО;"ТОО ""LC LOMBARD"" (ЭЛСИ ЛОМБАРД)";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, Проспект Нұрсұлтан Назарбаев, дом 25, н.п. 65;ДЖОН СОКМИН;
ТОО «Микрофинансовая организация «Умит Финанс»;250240019385;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ УМИТ ФИНАНС""";Г.АЛМАТЫ, МЕДЕУСКИЙ РАЙОН, Проспект Достык, дом 210Б;ТУЛЕБАЕВ НУРЖАН ЯШАРОВИЧ;
ТОО «Микрофинансовая организация «Zaymi.kz»;241040032990;МФО;"ТОО ""МФО «ZAYMI.KZ""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, улица Байсеитовой, дом 49, н.п. 78;ТӨЛЕГЕНОВА АЙДАНА ДОСМҰХАНБЕТҚЫЗЫ;
ТОО «Микрофинансовая организация «М Булак»;241240010342;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ М БУЛАК""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Гоголя, дом 86;ДЖУМАБЕКОВА БАКТЫГУЛЬ;
"ТОО ""МФО Jet Деньги""";241140012988;МФО;"ТОО ""«МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ «JET ДЕНЬГИ»""";Г.АЛМАТЫ, АУЭЗОВСКИЙ РАЙОН, Микрорайон Таугуль-2, дом 37, кв. 21;ДУЛАТОВА АЛЬБИНА ДУЛАТОВНА;
ТОО «Микрофинансовая организация «Finfix»;230640002679;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""FINFIX""";Г.АЛМАТЫ, АУЭЗОВСКИЙ РАЙОН, Микрорайон 1, дом 73Б;МЫРЗАХМЕТҚЫЗЫ АЙГЕРІМ;
"ТОО ""Ломбард neo""";241040033136;Ломбард;"ТОО ""ЛОМБАРД NEO""";ПАВЛОДАРСКАЯ ОБЛАСТЬ, ПАВЛОДАР Г.А., Г.ПАВЛОДАР, улица Лермонтова, дом 45, н.п. 33;НИКОЛАЕВА СВЕТЛАНА СЕРГЕЕВНА;
ТОО «Микрофинансовая организация «Microcash»;241040000675;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""MICROCASH""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, Проспект Аль-Фараби, дом 7, кв. 19;ХАНАФИЕВА МАДИНА РИНАТОВНА;
ТОО «Микрофинансовая организация «EL QAZYNA»;241140025991;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""EL QAZYNA""";Г.АСТАНА, РАЙОН САРАЙШЫҚ, улица Жұмекен Нәжімеденов, дом 16Б, н.п. 8;ШОПАН МИРЛАН ДАНИЯРҰЛЫ;
ТОО «Микрофинансовая организация «SANA»;241240035704;МФО;"ТОО ""«МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ «SANA»""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, Проспект Аль-Фараби, дом 17;МУХАМЕТРАХИМОВ УРАЛ МУХАМЕТАЛИМОВИЧ;
ТОО «Микрофинансовая организация «Satcredit.kz»;2409400008155;МФО;;;;ошибка при сборе: HTTP Error 404: Not Found
ТОО «Кредитное товарищество «ALATAUCREDIT PRO»;240340018517;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ALATAUCREDIT PRO""";Г.АЛМАТЫ, НАУРЫЗБАЙСКИЙ РАЙОН, Микрорайон Таусамалы, улица С Жандосов, дом 54;КАБДУЛШАРИПОВ ЕРКЕБУЛАН БОЛАТОВИЧ;
"ТОО ""АВТОломбард Жана Кредит""";240340006216;Ломбард;"ТОО ""АВТОЛОМБАРД ЖАНА КРЕДИТ""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, улица Маркова, дом 46, кв. 5;КАЙРМАГАМБЕТОВ БОЛАТ МУСИРАЛИЕВИЧ;
