Регион;Название палаты;Адрес;Телефон;Email;Руководитель;Примечание
Республика (РНП);Республиканская нотариальная палата РК;"010000, г. Астана, ул. Сарайшык, 38, оф. 5";+7 700 723 92 40;rnp_rnp@mail.ru;Полумордвинов Олег Игоревич (Председатель, избран 23.01.2026);
Акмолинская область;Территориальная нотариальная палата Акмолинской области;"020000, г. Кокшетау, ул. Ауельбекова, 54";"8 (7162) 25-15-34; +7 777 734 74 50";notpalataakmol@mail.ru;Кубитаева Гульжан Муратовна (Председатель);
Актюбинская область;Территориальная нотариальная палата Актюбинской области;"030000, г. Актобе, р-н Астана, пр. Абилкайыр хана, 27/1";"Председатель/Директор: 8 (7132) 90-72-46; канцелярия/архив: 8 (7132) 55-02-2";notpalata-aktobe@mail.ru;Корганбеков Гайдарали Сансызбаевич (Председатель); Адилова Дария Калмухановна (Директор);
г. Алматы;Территориальная нотариальная палата г. Алматы;"050000, г. Алматы, ул. Айтиева, 134";"8 (727) 375-76-58, 375-37-02, 375-35-89, 375-38-76; +7 701 318 73 26";npakz@mail.ru;Калабаева Карагоз Копабаевна (Председатель);
Алматинская область;Территориальная нотариальная палата Алматинской области;"040909, Карасайский р-н, с. Алмалыбак, ул. Хабибулина, 14";"8 727 305-35-40 (канцелярия); 305-35-39 (бухгалтерия); 8 727 715-33-47 (архив)";npaork@mail.ru;Акилтаева Сауле Куантаевна (Председатель);
г. Астана;Территориальная нотариальная палата г. Астаны;"г. Астана, ул. Айтеке би, 14, нп 8, ЖК «Манхэттен» (архив: ул. Сауран, 3/1, ВП-4)";"8 708 718 50 74; 8 701 365 87 07";notpalata_astana@mail.ru;Айкешева Айгерим Муратовна (Председатель);
Атырауская область;Территориальная нотариальная палата Атырауской области;"060027, г. Атырау, мкр «Вокзал маңы» 5, дом 17";"8 7122 30-57-99 (приёмная председателя); 30-57-90 (бухгалтерия)";palata_1999@mail.ru;Масатова Гульнар Джумагуловна (Председатель);
Область Абай;Территориальная нотариальная палата области Абай;"071400, г. Семей, ул. Кабанбай батыра, 40, н.п. 4";"8 (7222) 35-30-59, 36-00-27";abai.tnp@mail.ru;Халелова Кабиряш Султановна (Председатель);отдельная палата с 01.07.2022, не объединена с ВКО
Восточно-Казахстанская область;Территориальная нотариальная палата Восточно-Казахстанской области;"070016, г. Усть-Каменогорск, пр. Каныша Сатпаева, 72, нп 33";"8 (7232) 20-30-78, 20-34-67 (архив-филиал: 20-34-55)";Shkopalata@gmail.com;Биделманова Жанна Советовна (Председатель);
Жамбылская область;Территориальная нотариальная палата Жамбылской области;"080007, г. Тараз, мкр «Акбулак», 22 «Б»";"+7 726 254-33-94 (приёмная); 254-35-55 (канцелярия); 254-33-93 (архив)";notar_taraz@mail.ru;Сыргабаева Латипа Конысбековна (Председатель);
Западно-Казахстанская область;Территориальная нотариальная палата Западно-Казахстанской области;"090000, г. Уральск, пр. Абая, 216, кв. 4";"+7 711 223-94-93 (канцелярия); +7 711 250-92-41 (архив)";npzko@mail.ru;Елегенова Найля Губашевна (Председатель);
Карагандинская область;Нотариальная палата Карагандинской области;"100000, г. Караганда, ул. Ерубаева, 7, НП 4";"8 (7212) 42-02-80 (приёмная); +7 721 242-00-59 (председатель); +7 721 241-19-07 (архив)";palata@notariatpalata.kz;Бексултанова Айгуль Казбековна (Председатель);
Костанайская область;Нотариальная палата Костанайской области;"110000, г. Костанай, ул. Победы, 33 А";"8 (7142) 54-16-46 (приёмная); 54-82-63 (архив); 54-45-31 (канцелярия)";noto.ko@mail.ru;Баекин Азамат Мендибекович (Председатель);
Кызылординская область;Территориальная нотариальная палата Кызылординской области;"120008, г. Кызылорда, ул. Бокейхана, 64 Б, 52 А";"8 (7242) 23-81-11 (канцелярия/бухгалтерия); 23-10-98 (архив)";kzlnotpalata@mail.ru;Суйеубаева Лаззат Сахитжановна (Председатель);
Мангистауская область;Территориальная нотариальная палата Мангистауской области;"130000, г. Актау, мкр 12, д. 70, кв. 42";"8 7292 77-44-31; 8 7292 50-97-52; 50-12-14 (архив)";mtnp1@mail.ru;Шегемов Сержан Дингуатович (Председатель);
Павлодарская область;Нотариальная палата Павлодарской области;"140000, г. Павлодар, ул. Максима Горького, 26";"+7 718 261-80-27 (приёмная/канцелярия); +7 718 262-79-26 (архив/бухгалтерия)";notarial.palata@mail.ru;Жапарова Сауле Рашитовна (Председатель);
Северо-Казахстанская область;Территориальная нотариальная палата Северо-Казахстанской области;"150000, г. Петропавловск, ул. Букетова, 30, кв. 36";"+7 715 246-40-16 (приёмная/исп. директор); +7 715 270-14-83 (бухгалтерия); +7 715 236-04-26 (архив)";notsko@mail.ru;Оспанова Гульмира Муратбековна (Председатель);
Туркестанская область;Территориальная нотариальная палата Туркестанской области;"160012, г. Туркестан, мкр «Жаңа қала», ул. 32, зд. 16, корп. «В»";+7 708 478-44-25;ukonp@mail.ru;Исахов Раимкул Шаймерденұлы (Председатель);
Область Ұлытау;Территориальная нотариальная палата области Ұлытау;"100600, г. Жезказган, ул. Желтоксан, 4";8 (7102) 72-41-45;0000788@notariatpalata.kz;Шубаева Мейрамкуль Кенбаевна (Председатель);отдельная палата, не объединена с Карагандинской
г. Шымкент;Территориальная нотариальная палата г. Шымкент;"160023, г. Шымкент, Енбекшинский р-н, ул. Аргынбекова, 178 квартал, зд. 19/1";"8 (7252) 77-66-46; +7 701 352-21-66";shymnp@mail.ru;Джунисбекова Гульнар Турарбековна (Председатель);
Область Жетісу;Территориальная нотариальная палата области Жетісу;"040000, г. Талдыкорган, ул. Кабанбай батыра, 75/89, офис 45";"8 (7282) 24-68-94 / 41-09-56";npjetisy111@mail.ru / npozh2020@mail.ru;Бекишбаев Арман Сейтжапарұлы (Председатель);отдельная палата, не объединена с Алматинской областью
