Регион;Название палаты;Адрес;Телефон;Email;Руководитель;Примечание
Республиканская палата;Республиканская палата частных судебных исполнителей Республики Казахстан (РПЧСИ РК);"г. Астана, ул. Сыганак, 43 (также упоминается адрес мкр-н Акбулак-2, пер. Талды, 4)";"+7 (7172) 97-20-58, 53-49-18; call-центр 8 (7172) 20-84-64 / 40-44-90";rpchsikz@gmail.com;Иманбаев Айдос Бейбітұлы (Председатель Правления);
Акмолинская область;Региональная палата частных судебных исполнителей Акмолинской области (филиал РПЧСИ);"г. Кокшетау, ул. М.Габдуллина, 36а, 2 этаж";"(7162) 32-30-25, 8 705 510 84 29";не найдено;Абулкасымова Жанар Амановна;
Актюбинская область;Региональная палата частных судебных исполнителей Актюбинской области;"г. Актобе, пр. Санкибай батыра, 1, каб. 108";"(7132) 54-00-33; call-центр 8 747 779 49 68";не найдено;Ниязбаев Манап Куптилеуович;
г. Алматы;Региональная палата частных судебных исполнителей г. Алматы;"г. Алматы, ул. Зенкова, 47, каб. 103";call-центр 8 747 416 22 56;не найдено;Кайдаров Айдын Серикказыевич;
Алматинская область;Региональная палата частных судебных исполнителей Алматинской области;"г. Каскелен, ул. Наурызбая, 3а";call-центр 8 747 365 12 45;не найдено;Байчепанов Асхат Мурзагалиевич;
г. Астана;Региональная палата частных судебных исполнителей г. Астаны;"пр. Сарыарка, 8/1, ВП-5 (филиал: ул. Ирченко, 31; юр. адрес: р-н Есиль, ЖМ Үркер, ул. Е250, 9)";call-центр 8 701 880 71 44;не найдено;Зиявитденова Баян Рамазановна;
Атырауская область;Региональная палата частных судебных исполнителей Атырауской области;"г. Атырау, пр. Азаттық, 4, 2 этаж, каб. 46";call-центр 8 778 493 00 71;не найдено;Батырхаирова Майра Ахмырзаевна;
Область Абай;Региональная палата частных судебных исполнителей области Абай;"г. Семей, ул. Мангілік Ел, 4";"8 701 428 75 46, 8 705 799 04 05";не найдено;Есенбаев Магжан Майданович;
Восточно-Казахстанская область;Региональная палата частных судебных исполнителей Восточно-Казахстанской области;"г. Усть-Каменогорск, пр. Шакарима, 6, оф. 102";"(7232) 61-06-50, 61-97-77";не найдено;Абдрахманов Санат Серикбаевич;
Жамбылская область;Региональная палата частных судебных исполнителей Жамбылской области;"г. Тараз, ул. Кошек батыра, 3, оф. 16";"(7262) 45-36-16, 45-24-28; call-центр 8 747 796 68 90";palatachsi08@mail.ru;Еркебаев Кайратбек Рахманович;
Область Жетісу;Региональная палата частных судебных исполнителей области Жетісу;"г. Талдыкорган, ул. Амиргалиева, 2, 2 этаж";call-центр 8 700 427 04 77;не найдено;Исаев Руслан Кадыржанович;
Западно-Казахстанская область;Региональная палата частных судебных исполнителей Западно-Казахстанской области;"г. Уральск, ул. Назарбаева, 215, каб. 309 (юр. адрес: ул. Балластная, 17/4)";"(7112) 35-01-37, +7 708 024 89 30";regpalatazko@mail.ru;Бирманов Ренат Асылбекович;
Карагандинская область;Региональная палата частных судебных исполнителей Карагандинской области;"г. Караганда, ул. Пассажирская, 15а, 4 этаж, каб. 401 (юр. адрес: ул. Мустафина, 6/4)";"(7212) 25-19-18, 25-49-77; call-центр 8 707 578 18 62";не найдено;Жумабай Кайрат Жумабаевич;в устаревшей записи goszakup указан другой директор/адрес — вероятно смена руководства со временем
Костанайская область;Региональная палата частных судебных исполнителей Костанайской области;"г. Костанай, пр. Аль-Фараби, 116, каб. 309-311";"(7142) 56-75-76; call-центр 8 747 786 34 10";не найдено;Баймуханов Кайрат Серикович;
Кызылординская область;Региональная палата частных судебных исполнителей Кызылординской области;"г. Кызылорда, ул. Токмагамбетова, 36а, каб. 24 (юр. адрес: ул. Айтеке Би, 18)";"(7242) 27-14-78; call-центр 8 771 179 26 31";не найдено;Десятниченко Кирилл Викторович;
Мангистауская область;Региональная палата частных судебных исполнителей Мангистауской области;"г. Актау, 26 мкр-н, здание 58Б, БЦ «Отар», каб. 107, 109";(7292) 30-12-04;не найдено;Бисенгалиев Бекнур Ермекович;
Павлодарская область;Региональная палата частных судебных исполнителей Павлодарской области;"г. Павлодар, ул. Жусупа, 189, каб. 202";(7182) 20-73-77;не найдено;Исабеков Даурен Бактиярович;
Северо-Казахстанская область;Региональная палата частных судебных исполнителей Северо-Казахстанской области;"г. Петропавловск, ул. Н.Назарбаева, 122, каб. 303-305 (БЦ Z-Office)";"(7152) 46-85-89, 46-28-59; WhatsApp +7 771 486 06 36";не найдено;Маткаримов Асан Сапарбекулы;
Туркестанская область;Региональная палата частных судебных исполнителей Туркестанской области;"г. Туркестан, мкр-н Яссы, ул. Тауке хана, 333 (юр. адрес: ул. С.Ерубаева, 168)";call-центр 8 777 404 90 90;не найдено;Сауран Максат Зулбухарулы;
Область Ұлытау;Региональная палата частных судебных исполнителей области Ұлытау;"г. Жезказган, ул. И.Анаркулова, 12В, 2 этаж, каб. 3";"call-центр 8 705 808 02 72; тел. руководителя 8 771 044 90 76";не найдено;Балтабаева Нургуль Акимовна;
г. Шымкент;Региональная палата частных судебных исполнителей г. Шымкент;"г. Шымкент, ул. Темирказык, 169/1 (юр. адрес: пр. Тауке хана, 93, Енбекшинский р-н)";call-центр 8 777 484 73 87;не найдено;Әбдібай Мадияр Мұхтарұлы;
