Компания;БИН;Сайт;Телефон;Email;Адрес;Председатель Правления;Примечание
АО "Страховая компания "Евразия" (Eurasia Insurance);950540000024;theeurasia.kz;"+7 (727) 258-43-36; бесплатно 8 800 080 0099";info@theeurasia.kz;"050004, г. Алматы, ул. Желтоксан, 59";Чегебаев Кайрат Садырбаевич;с 19.05.2023
АО "ДО Народного Банка Казахстана "Страховая компания "Халык" (Halyk Insurance, быв. Kazakhinstrakh);981040001082;skhalyk.kz;"+7 (727) 250-22-22; бесплатно 797";info@skhalyk.kz;"г. Алматы, пр. Абая, 109В, оф. 9А";Абдир Кайсар Абдирович;и.о. Председателя Правления
АО "ДК Народного Банка Казахстана по страхованию жизни "Халык-Life";051140004354;halyklife.kz;"+7 (727) 244 62 22; бесплатно 7123";info@halyklife.kz;"г. Алматы, пр. Абая, 109В";Бурибаева Гаухар Асылбековна;с 01.04.2026, сменила Зданович Ларису
АО "Компания по страхованию жизни "Евразия" (Eurasia Life);181140021231;eulife.kz;"+7 (727) 258 75 58 / 258 75 54";info@eulife.kz;"050040, г. Алматы, ул. Маркова, 32";Шандыбаев Сакен Жеткербаевич;
АО "Страховая компания "Amanat";000940001446;amanat24.kz;"+7 (727) 244 33 44";info@a-i.kz;"050051, г. Алматы, пр. Достык, 232";Нургалиев Ернар Бахытович;с 18.03.2020
АО "СК "Alatau City Garant" (быв. Jusan Garant, быв. Цесна Гарант);080740012607;acgarant.kz;"+7 (727) 356 25 25";info@acgarant.kz;"г. Алматы, пр. Назарбаева, 187Б";Убегалиева Гульмира Кайрулловна;с 11.06.2025
АО "СК "Freedom Finance Insurance" (быв. Trust Insurance);090640006849;ffins.kz;"+7 (727) 311-79-99; короткий номер 5777";info@ffins.kz;"г. Алматы, ул. Желтоксан, 115, БЦ "Кайсар Плаза", 2 этаж";Керимбаев Азамат Рашидович;
АО "КСЖ "Freedom Finance Life" (быв. Asia Life);140940003807;ffin.life;"+7 (727) 228-06-07; короткий номер 7775";info@ffin.life;"г. Алматы, пр. Аль-Фараби, 77/7, БЦ "Esentai Tower", 3/7 этаж";Ердесов Азамат Джансултанович;
АО "СК "НОМАД Иншуранс";040140001147;nomad.kz;"+7 (727) 3 212 000; колл-центр 2233";info@nomad.kz;"г. Алматы, ул. Толе би, 101, БЦ "Толе би", 4 этаж";Иманжанов Даурен Касымханович;
АО "Компания по страхованию жизни "Nomad Life";080340004077;nomadlife.kz;"+7 (727) 320-10-60; колл-центр 3260";info@nomadlife.kz;"г. Алматы, пл. Республики, 15";Камбетбаев Ерлан Булатович;с 01.11.2022
АО "Страховая Компания "Сентрас Иншуранс";991240000451;cic.kz;"+7 (727) 259-77-55";reception@cic.kz;"050046, г. Алматы, ул. Мынбаева, 151, БЦ "VERUM"";Турысбеков Бейбит Абдиманапович;
АО "СК "Казахмыс";010140000143;kmic.kz;"+7 (727) 310 20 90; короткий номер 2090";info@kmic.kz;"г. Алматы, пр. Достык, 38";Джангалиева Асель;по данным Forbes 08.2024; на офиц. сайте не подтверждено (JS-рендеринг), KASE даёт другое имя (крупный акционер)
АО "Казахская Корпорация Здравоохранения и Медицинского Страхования "ИНТЕРТИЧ" (Interteach);920440000719;interteach.kz;"+7 (727) 3200-200, +7 (727) 3200-205/206";interteach@interteach.kz;"г. Алматы, пр. Назарбаева, 275Е";Исаева Анар Амирбековна;
АО "Страховая Компания "АСКО";991040000284;asko.kz;"+7 (7212) 50-55-55 (также 50-60-80)";info@asko.kz;"Карагандинская обл., г. Караганда, пр. Бухар Жырау, 15";Миндубаев Юрий Анатольевич;
АО "Страховая компания "Basel" (быв. Kaspi Страхование, переим. 13.05.2020);940440000910;basel.kz;"7530 (короткий номер)";office@basel.kz;"г. Алматы, Медеуский р-н, пр. Нурсултан Назарбаев, 244А";Чокин Таир Канатович;
АО "СК "Виктория";930640000193;vic.kz;"+7 (727) 279-55-80";inbox@vic.kz;"г. Алматы, Алмалинский р-н, пр. Сейфуллина, 521";Ержанова Раушан Зейнуллаевна;
АО "СК "Sinoasia B&R" (Синоазия БиЭндАр);071240007099;sinoasia.kz;"+7 (727) 244 46 80, 244 46 85";info@sinoasia.kz;"г. Алматы, Медеуский р-н, ул. Карасай батыра, 34/95";Абишев Джан Булатович;избран 04.12.2024
АО "Нефтяная страховая компания" (НСК);960440000716;nsk.kz;"+7 (727) 258-18-00";info@nsk.kz;"Юр.адрес: обл. Абай, г. Семей, ул. Кабанбай батыра, 26; факт. офис: г. Алматы, мкр. Алмагуль, 15а";Конурбаев Ержан Еркенович;
АО "Экспортно-кредитное агентство Казахстана "KazakhExport";030840002763;kazakhexport.kz;"+7 (7172) 95-56-56; call-центр 1408";info@kazakhexport.kz;"г. Астана, пр. Мәңгілік Ел, 55А, БЦ "Байтерек", 11 этаж";Чайжунусов Аллен Сержанович;"с 03.07.2024; экспортно-кредитное страховое агентство, не классическая СК"
АО "Страховая компания "ТрансОйл";940840000211;ictransoil.kz;"+7 (727) 339-23-00; +7 (708) 470-79-14";info@transoil.kz;"г. Алматы, ул. М. Озтюрк, 7-а";Исмагулов Мырзагали Кожагулович;лицензия приостанавливалась в 2018, переоформлена в 2019, действующая
АО "КСЖ "Centras Life" (быв. Коммеск-Өмір, переименован 17.03.2026);911140000055;centraslife.kz;"+7 701 244-74-00";call-center@centraslife.kz;"г. Алматы, ул. Наурызбай батыра, 19";Ханин Олег Аркадьевич;"с 2023 работает по лицензии страхования жизни, портфель общего страхования передан АО "СК "Сентрас Иншуранс"""
АО "КСЖ "Standard Life";070940015052;standardlife.kz;"7008 (короткий), +7 (778) 002 7008, колл-центр 8 (727) 331 53 53";info@stdlife.kz;"050012, г. Алматы, ул. Кабанбай батыра, 186";Амерходжаев Галым Ташмуханбетович;с 27.09.2022
АО "КСЖ "KM Life";190840028828;kmlife.kz;"+7 727 310 10 10, +7 800 004 10 10";info@kmlife.kz;"г. Алматы, ул. Зенкова, 71";Бекболатова Назым Бекболатовна;
АО "КСЖ "Государственная аннуитетная компания" (ГАК);050640002859;gak.kz;"+7 708 903 9999, +7 7172 916-333";info@gak.kz;"010000, г. Астана, пр. Мәңгілік Ел, д. 30";Мукажанов Куаныш Амангельдиевич;с 20.06.2024
АО "КСЖ "Европейская Страховая Компания" (Euroins, ранее Generali Life/PPF);061240008233;euroins.kz;"+7 705 924 29 29";info@euroins.kz;"050040, г. Алматы, ул. Шашкина, 1/1";Надиров Дмитрий Надирович;с 15.12.2011
АО "КСЖ "BCC Life";240740030055;bcclife.kz;"+7 727 248 6274";info@bcclife.kz;"г. Алматы, пр. Достык, 188, БЦ Kulan";Джаксымбетова Гульжан Карибаевна;
