Название суда;Категория;Регион;Председатель/Руководитель;Адрес;Телефоны;E-mail;Режим работы
Акмолинский областной суд;Областной суд;Акмолинская область;Амиров Досжан Сарманкулович;Акмолинская область, г.Кокшетау, ул.Горького 39;8-7162-55-97-89;0301@sud.kz;
Кокшетауский городской суд;Городской суд;Акмолинская область;Шакуанов Ринат Боташевич;Акмолинская область, г.Кокшетау, ул.Сатпаева 8.;8-7162-55-12-05;716-1265@sud.kz;
Степногорский городской суд;Городской суд;Акмолинская область;Бекентаева Бибигуль Каиргельдиновна;Акмолинская область, г.Степногорск, мкр 4, 49 здание.;8-7164-56-12-16;030222@sud.kz;
Аккольский районный суд;Районный суд;Акмолинская область;Жетибаев Жандос Копжасарович;Акмолинская область, Аккольский район, г.Акколь, ул.Нурмагамбетова, 63;8-7163-82-00-51;030203@sud.kz;
Аршалынский районный суд;Районный суд;Акмолинская область;Нурмагамбетов Бахытжан Магзумович;Акмолинская область, Аршалынский район, п.Аршалы, ул.Ташенова 23;8-7164-42-14-63;030204@sud.kz;
Астраханский районный суд;Районный суд;Акмолинская область;Машрапов Даулетияр Борибаевич;Акмолинская область, с.Астраханка, ул.Аль-Фараби 92.;8-7164-12-29-52;030205@sud.kz;
Атбасарский районный суд;Районный суд;Акмолинская область;Бекенов Нурлан Садуевич;Акмолинская область, г.Атбасар, ул. Лука Белаш 44 Б.;8-7164-35-31-42;030206@sud.kz;
Буландинский районный суд;Районный суд;Акмолинская область;Сулейменов Олжас Каиржанович;Акмолинская область, г.Макинск, ул.Сейфуллина 165.;8-7164-62-10-33;030207@sud,kz;
Бурабайский районный суд;Районный суд;Акмолинская область;Балабеков Абзал Умертаевич;Акмолинская область, г.Щучинск, ул.Абылайхана 30.;8-7163-64-39-02;030208@sud.kz;
Егиндыкольский районный суд;Районный суд;Акмолинская область;И.о. Аушахимов Азамат Ескенович;Акмолинская область, с.Егиндыколь, ул.Джамбула 3.;8-7164-22-12-47;030210@sud,kz;
Ерейментауский районный суд;Районный суд;Акмолинская область;Акишев Максат Амангельдинович;Акмолинская область, г.Ерейментау, ул.Женис 5.;8-7163-32-13-64;030212@sud.kz;
Есильский районный суд;Районный суд;Акмолинская область;Абишев Казбек Есимбекович;Акмолинская область, г.Есиль, ул.Тәуелсіздік 70.;8-7164-72-21-97;030213@sud,kz;
Жаксынский районный суд;Районный суд;Акмолинская область;Ахметжанов Ермек Басбатырович;Акмолинская область, село Жаксы, ул.Туктубаева д.39.;8-7163-52-13-82;030214@sud.kz;
Жаркаинский районный суд;Районный суд;Акмолинская область;И.о. Костырев Николай Владимирович;Акмолинская область, г.Державинск, ул.М.Габдуллина 162.;8-7164-89-18-35;030216@sud.kz;
Зерендинский районный суд;Районный суд;Акмолинская область;Хасенов Кайрат Кайркенович;Акмолинская область, с.Зеренда, ул.Мира 58.;8-7163-22-25-75;030217@sud.kz;
Коргалжинский районный суд;Районный суд;Акмолинская область;Темирханов Данияр Дидарбекович;Акмолинская область, с.Коргалжын, ул.Х.Болганбаева 20.;8-7163-72-22-19;716-4060@sud.kz;
Сандыктауский районный суд;Районный суд;Акмолинская область;Сексенбаева Лариса Джазитовна;Акмолинская область, с.Балкашино, ул. Абылайхана 124.;8-7164-09-12-40;030221@sud.kz;
Суд района Биржан сал;Районный суд;Акмолинская область;Анарбекова Гульмира Дуйсебаевна;Акмолинская область, г.Степняк, ул.Биржан сала 48.;8-7163-92-14-94;030211@sud.kz;
Целиноградский районный суд;Районный суд;Акмолинская область;Шамшинурова Ажаргуль Муратовна;Акмолинская область, аул Акмол, ул.Гагарина, строения 2/6.;8-7165-13-02-02;030223@sud.kz;
Шортандинский районный суд;Районный суд;Акмолинская область;Нұржан Бейбіт Нұржанұлы;Акмолинская область, пос.Шортанды, ул.Абылайхана 24.;8-7163-12-23-24;716-4411@sud.kz;
Специализированный межрайонный административный суд г.Кокшетау;Специализированный административный суд;Акмолинская область;Альжанов Бауыржан Серикович;Акмолинская область, г.Кокшетау, ул.Потанина 46А.;-;-;
Специализированный суд по административным правонарушениям г.Кокшетау;Специализированный административный суд;Акмолинская область;И.о. Тулиев Серик Турлыбекович;Акмолинская область, г.Кокшетау, ул.Сатпаева 8.;8-7162-55-12-01;030219@sud.kz;
Специализированный межрайонный экономический суд;Специализированный экономический суд;Акмолинская область;Аймухамедов Азамат Асылбекович;Акмолинская область, г.Кокшетау, ул.Горького 37.;8-7162-25-06-20;716-2470@sud.kz;
Специализированный межрайонный суд по уголовным делам;Суд по уголовным делам;Акмолинская область;Бектурсунов Торкалы Болатович;Акмолинская область, г.Кокшетау, ул.Потанина 46 А.;8-7162-55-97-80;030202@sud.kz;
Специализированный следственный суд города Кокшетау Акмолинской области;Следственный суд;Акмолинская область;Кәкім Ильяс Қазбекұлы;Акмолинская область, г.Кокшетау, ул.Сатпаева,8;8-7162-55-12-19;030258@sud.kz;
