Номер;Служба;Примечание
101;Пожарная служба;Бесплатно с любого телефона
102;Полиция (органы внутренних дел);Бесплатно с любого телефона
103;Скорая медицинская помощь;Бесплатно с любого телефона
104;Аварийная газовая служба / коммунальные службы;Бесплатно с любого телефона
109;Служба спасения;Бесплатно с любого телефона
110;«Горячая линия» Комитета национальной безопасности;По вопросам терроризма
111;Контакт-центр по правам женщин и детей;
112;Единая дежурно-диспетчерская служба (МЧС);Круглосуточно, сообщения об угрозе/ЧС
1414;8 800 080 77 77;Контакт-центр государственных услуг (eGov)
1450;Контакт-центр в сфере образования;
1484;8 800 080 30 84;Контакт-центр Министерства финансов РК (введён 12.03.2026)
